intent,category,keywords,answer,response_type,confidence_level,required_inputs,urgency,conditions,effective_from,effective_to,escalation,escalation_reason,handoff_message,notes
設備_水漏れ,設備,水 漏れ 漏水,水漏れは緊急です。止水できる場合は止水し、管理会社に至急電話でご連絡下さい。なお、漏れている箇所の写真を管理会社のメールアドレスに送って頂くと対応がスムーズです。,instruction,high,"漏れている場所,写真,発生時刻",high,居室・共用部を問わず,,,owner_required,緊急性・建物被害の恐れ,水漏れの緊急連絡です。管理会社に写真が届いているか確認して下さい。,緊急
鍵_紛失,防犯,鍵 なく した 紛失,鍵の紛失時はシリンダー交換が必要です。至急管理会社に連携の上手配します（費用は原則入居者負担）。なお、合鍵の作成はご自身でご対応ください。,warning,high,,high,防犯上の理由,,,management_required,防犯リスク・費用確定が必要,鍵紛失の連絡です。入居者に連絡の上、必要に応じて交換手配などお願いします。,緊急
ゴミ出し_時間,ゴミ,ゴミ 何時 まで,ゴミは収集日の当日朝8時までに出してください。収集後の後出しには対応できません。,instruction,high,,low,市のルールに基づく,,,bot_only,,,市ルール準拠
ゴミ袋_変更,ゴミ,指定袋 変更,2025年10月1日から可燃・不燃は共通袋になります。ペットボトル専用袋は廃止され、資源プラと同じ袋になります。,fact,high,,low,,2025-10-01,,bot_only,,,日付条件分岐
ペット飼育の可否,規則,ペット 動物 飼育,ペットの飼育は禁止されています。,policy,medium,,low,,,,bot_only,,,
設備_エアコン,設備,エアコン 効か ない,エアコンの症状（冷えない・異音・異臭・水漏れ）と発生時期を教えてください。内容により修理手配します。,instruction,medium,"症状,発生時期",medium,水漏れ・焦げ臭は即エスカ,,,conditional_owner,水漏れ・焦げ臭は即エスカ,エアコン不具合の問い合わせです。症状と発生時期を受領しています。,水漏れ・焦げ臭は即エスカ
契約_更新,契約,契約 更新,自動更新となっておりますので、更新料のお支払いと書類返送で手続き完了です。,fact,high,,low,,,bot_only,,,,
契約_解約,契約,解約 退去,退去は原則1か月前までに書面にてご連絡ください。日程確認後、立会いを行います。,instruction,high,,medium,,,management_required,日程調整・立会いが必要,退去希望の連絡です。日程調整をお願いします。,,退去立会調整必要
